F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
5 S     0    80     2  0 -40   - -     0 smpboo ?        00:00:00 watchdog/2
1 S     0    81     2  0 -40   - -     0 smpboo ?        00:00:00 migration/2
1 S     0    82     2  0  80   0 -     0 smpboo ?        00:00:00 ksoftirqd/2
1 S     0    83     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:0
1 S     0    84     2  0  60 -20 -     0 worker ?        00:00:00 kworker/2:0H
1 S     0    85     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    86     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    87     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    88     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    89     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 S     0    90     2  0  60 -20 -     0 rescue ?        00:00:00 bioset
1 S     0    91     2  0  60 -20 -     0 worker ?        00:00:00 kworker/u65:0
1 S     0    92     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 S     0    93     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 S     0    94     2  0  80   0 -     0 hub_th ?        00:00:00 khubd
1 S     0    95     2  0  60 -20 -     0 rescue ?        00:00:00 md
1 S     0    96     2  0  60 -20 -     0 rescue ?        00:00:00 devfreq_wq
1 S     0   100     2  0  80   0 -     0 watchd ?        00:00:00 khungtaskd
1 S     0   101     2  0  80   0 -     0 kswapd ?        00:00:00 kswapd0
1 S     0   102     2  0  85   5 -     0 ksm_sc ?        00:00:00 ksmd
1 S     0   103     2  0  99  19 -     0 khugep ?        00:00:00 khugepaged
1 S     0   104     2  0  80   0 -     0 fsnoti ?        00:00:00 fsnotify_mark
1 S     0   105     2  0  80   0 -     0 ecrypt ?        00:00:00 ecryptfs-kthrea
1 S     0   106     2  0  60 -20 -     0 rescue ?        00:00:00 crypto
1 S     0   118     2  0  60 -20 -     0 rescue ?        00:00:00 kthrotld
1 S     0   120     2  0  80   0 -     0 balloo ?        00:00:00 vballoon
1 S     0   121     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_0
1 S     0   122     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_1
1 S     0   145     2  0  60 -20 -     0 rescue ?        00:00:00 deferwq
1 S     0   146     2  0  60 -20 -     0 rescue ?        00:00:00 charger_manager
1 S     0   195     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_2
1 S     0   197     2  0  60 -20 -     0 rescue ?        00:00:00 kpsmoused
1 S     0   198     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_3
1 S     0   199     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_4
1 S     0   200     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_5
1 S     0   201     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_6
1 S     0   202     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_7
1 S     0   203     2  0  80   0 -     0 worker ?        00:00:00 kworker/u64:4
1 S     0   204     2  0  80   0 -     0 worker ?        00:00:00 kworker/u64:5
1 S     0   212     2  0  60 -20 -     0 worker ?        00:00:00 kworker/u65:1
1 S     0   220     2  0  80   0 -     0 kjourn ?        00:00:00 jbd2/sda1-8
1 S     0   221     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 S     0   362     1  0  80   0 -  4902 poll_s ?        00:00:00 upstart-udev-br
5 S     0   367     1  0  80   0 - 12952 ep_pol ?        00:00:00 systemd-udevd
5 S   102   460     1  0  80   0 - 10028 ep_pol ?        00:00:00 dbus-daemon
