UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       101     2   101  0    1 15:40 ?        00:00:00 [kswapd0]
root       102     2   102  0    1 15:40 ?        00:00:00 [ksmd]
root       103     2   103  0    1 15:40 ?        00:00:00 [khugepaged]
root       104     2   104  0    1 15:40 ?        00:00:00 [fsnotify_mark]
root       105     2   105  0    1 15:40 ?        00:00:00 [ecryptfs-kthrea]
root       106     2   106  0    1 15:40 ?        00:00:00 [crypto]
root       118     2   118  0    1 15:40 ?        00:00:00 [kthrotld]
root       120     2   120  0    1 15:40 ?        00:00:00 [vballoon]
root       121     2   121  0    1 15:40 ?        00:00:00 [scsi_eh_0]
root       122     2   122  0    1 15:40 ?        00:00:00 [scsi_eh_1]
root       145     2   145  0    1 15:40 ?        00:00:00 [deferwq]
root       146     2   146  0    1 15:40 ?        00:00:00 [charger_manager]
root       195     2   195  0    1 15:40 ?        00:00:00 [scsi_eh_2]
root       197     2   197  0    1 15:40 ?        00:00:00 [kpsmoused]
root       198     2   198  0    1 15:40 ?        00:00:00 [scsi_eh_3]
root       199     2   199  0    1 15:40 ?        00:00:00 [scsi_eh_4]
root       200     2   200  0    1 15:40 ?        00:00:00 [scsi_eh_5]
root       201     2   201  0    1 15:40 ?        00:00:00 [scsi_eh_6]
root       202     2   202  0    1 15:40 ?        00:00:00 [scsi_eh_7]
root       220     2   220  0    1 15:40 ?        00:00:00 [jbd2/sda1-8]
root       221     2   221  0    1 15:40 ?        00:00:00 [ext4-rsv-conver]
root       362     1   362  0    1 15:40 ?        00:00:00 upstart-udev-bridge --daemon
root       367     1   367  0    1 15:40 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
message+   460     1   460  0    1 15:40 ?        00:00:00 dbus-daemon --system --fork
root       568     1   568  0    1 15:40 ?        00:00:00 /lib/systemd/systemd-logind
root       571     1   571  0    1 15:40 ?        00:00:00 /usr/sbin/bluetoothd
root       590     2   590  0    1 17:59 ?        00:00:00 [kworker/0:1]
syslog     637     1   637  0    4 15:40 ?        00:00:00 rsyslogd
syslog     637     1   640  0    4 15:40 ?        00:00:00 rsyslogd
syslog     637     1   641  0    4 15:40 ?        00:00:00 rsyslogd
syslog     637     1   642  0    4 15:40 ?        00:00:00 rsyslogd
root       639     2   639  0    1 15:40 ?        00:00:00 [krfcommd]
root       765     1   765  0    3 15:40 ?        00:00:00 /usr/sbin/ModemManager
root       765     1   778  0    3 15:40 ?        00:00:00 /usr/sbin/ModemManager
root       765     1   782  0    3 15:40 ?        00:00:00 /usr/sbin/ModemManager
root       820     1   820  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       820     1   831  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       820     1   835  0    3 15:40 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       851     1   851  0    1 15:40 ?        00:00:00 upstart-socket-bridge --daemon
root       860     1   860  0    1 15:40 ?        00:00:00 upstart-file-bridge --daemon
root       909     1   909  0    1 15:40 tty4     00:00:00 /sbin/getty -8 38400 tty4
root       913     1   913  0    1 15:40 tty5     00:00:00 /sbin/getty -8 38400 tty5
root       919     1   919  0    1 15:40 tty2     00:00:00 /sbin/getty -8 38400 tty2
root       920     1   920  0    1 15:40 tty3     00:00:00 /sbin/getty -8 38400 tty3
root       923     1   923  0    1 15:40 tty6     00:00:00 /sbin/getty -8 38400 tty6
kernoops   993     1   993  0    1 15:40 ?        00:00:00 /usr/sbin/kerneloops
root       996     1   996  0    1 15:40 ?        00:00:00 cron
root       998     1   998  0    1 15:40 ?        00:00:00 /usr/sbin/irqbalance
whoopsie  1002     1  1002  0    3 15:40 ?        00:00:00 whoopsie
whoopsie  1002     1  1083  0    3 15:40 ?        00:00:00 whoopsie
whoopsie  1002     1  1084  0    3 15:40 ?        00:00:00 whoopsie
root      1046     1  1046  0    1 15:40 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1168     1  1168  0    1 15:40 ?        00:00:00 /usr/sbin/cups-browsed
root      1178     1  1178  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1178     1  1181  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1178     1  1183  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1178     1  1185  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1178     1  1188  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1178     1  1189  0    6 15:40 ?        00:00:00 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1184  1178  1184  0    1 15:40 ?        00:00:01 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root      1190  1178  1190  0    3 15:40 ?        00:00:00 prlshprint
root      1190  1178  1221  0    3 15:40 ?        00:00:03 prlshprint
root      1190  1178  1222  0    3 15:40 ?        00:00:00 prlshprint
root      1216     1  1216  0    1 15:40 tty1     00:00:00 /sbin/getty -8 38400 tty1
root      1253     1  1253  0    3 15:40 ?        00:00:00 lightdm
root      1253     1  1269  0    3 15:40 ?        00:00:00 lightdm
root      1253     1  1335  0    3 15:40 ?        00:00:00 lightdm
root      1271     1  1271  0    3 15:40 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1271     1  1284  0    3 15:40 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1271     1  1285  0    3 15:40 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1333  1253  1333  1    2 15:40 tty7     00:01:48 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1333  1253  1338  0    2 15:40 tty7     00:00:00 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1341  1253  1341  0    2 15:40 ?        00:00:00 lightdm --session-child 12 15
root      1341  1253  1343  0    2 15:40 ?        00:00:00 lightdm --session-child 12 15
root      1342     2  1342  0    1 15:40 ?        00:00:00 [kauditd]
jonas     1351  1341  1351  0    1 15:40 ?        00:00:00 init --user
jonas     1417  1351  1417  0    1 15:40 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-4COkB2oazc
jonas     1426  1351  1426  0    1 15:40 ?        00:00:00 upstart-event-bridge
jonas     1430  1351  1430  0    1 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
